sseqid	PathwayID	Description
AT1G01090	ath00010	Glycolysis / Gluconeogenesis 
AT1G09780	ath00010	Glycolysis / Gluconeogenesis 
AT1G09870	ath00010	Glycolysis / Gluconeogenesis 
AT1G12000	ath00010	Glycolysis / Gluconeogenesis 
AT1G13440	ath00010	Glycolysis / Gluconeogenesis 
AT1G16300	ath00010	Glycolysis / Gluconeogenesis 
AT1G22170	ath00010	Glycolysis / Gluconeogenesis 
AT1G22440	ath00010	Glycolysis / Gluconeogenesis 
AT1G23190	ath00010	Glycolysis / Gluconeogenesis 
AT1G23800	ath00010	Glycolysis / Gluconeogenesis 
AT1G32440	ath00010	Glycolysis / Gluconeogenesis 
AT1G32780	ath00010	Glycolysis / Gluconeogenesis 
AT1G34430	ath00010	Glycolysis / Gluconeogenesis 
AT1G43670	ath00010	Glycolysis / Gluconeogenesis 
AT1G44170	ath00010	Glycolysis / Gluconeogenesis 
AT1G47840	ath00010	Glycolysis / Gluconeogenesis 
AT1G48030	ath00010	Glycolysis / Gluconeogenesis 
AT1G50460	ath00010	Glycolysis / Gluconeogenesis 
AT1G54100	ath00010	Glycolysis / Gluconeogenesis 
AT1G56190	ath00010	Glycolysis / Gluconeogenesis 
AT1G59900	ath00010	Glycolysis / Gluconeogenesis 
AT1G70730	ath00010	Glycolysis / Gluconeogenesis 
AT1G76550	ath00010	Glycolysis / Gluconeogenesis 
AT1G77120	ath00010	Glycolysis / Gluconeogenesis 
AT1G79550	ath00010	Glycolysis / Gluconeogenesis 
AT2G01140	ath00010	Glycolysis / Gluconeogenesis 
AT2G19860	ath00010	Glycolysis / Gluconeogenesis 
AT2G21170	ath00010	Glycolysis / Gluconeogenesis 
AT2G22480	ath00010	Glycolysis / Gluconeogenesis 
AT2G24270	ath00010	Glycolysis / Gluconeogenesis 
AT2G29560	ath00010	Glycolysis / Gluconeogenesis 
AT2G34590	ath00010	Glycolysis / Gluconeogenesis 
AT2G36460	ath00010	Glycolysis / Gluconeogenesis 
AT2G36530	ath00010	Glycolysis / Gluconeogenesis 
AT2G36580	ath00010	Glycolysis / Gluconeogenesis 
AT2G37790	ath00010	Glycolysis / Gluconeogenesis 
AT3G04120	ath00010	Glycolysis / Gluconeogenesis 
AT3G13930	ath00010	Glycolysis / Gluconeogenesis 
AT3G16910	ath00010	Glycolysis / Gluconeogenesis 
AT3G17940	ath00010	Glycolysis / Gluconeogenesis 
AT3G22960	ath00010	Glycolysis / Gluconeogenesis 
AT3G25860	ath00010	Glycolysis / Gluconeogenesis 
AT3G47800	ath00010	Glycolysis / Gluconeogenesis 
