"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009408","response to heat",461,0.569132467536152,2.3616816659988,2.62623796115389e-26,2.27169583639811e-23,1.61997415288019e-23,2643,"tags=28%, list=11%, signal=25%","104433086/104436331/104423843/104423239/104429945/104437376/104423141/104418747/104422428/104447535/104449668/104442142/104422427/104431659/104430586/104452453/104417707/108958104/104423734/104433188/104450557/104424548/104436613/104443693/104419505/104422452/104437870/104433189/104422431/104438621/104442796/104422433/104431598/104449685/104415724/104438090/104444704/104450758/104452405/104433195/104422442/104423724/104424887/104449755/104449754/104430445/104430869/104438083/104452509/104414844/104457383/104432744/104445629/104415175/104450645/104425853/104438443/104422443/104434354/104452588/104454830/104451046/104422438/104423163/104426006/104441911/104422449/104419503/104430446/104452953/104423750/108960930/104427455/104441151/104431142/104438548/104438084/104450646/104445630/104449210/104444099/104431379/104443842/104419390/104426838/104449157/104422426/104449651/104417739/104437604/104436509/104423842/104448081/104435501/104437705/104424446/104422434/104436316/104414754/104422190/104418205/104422605/104418178/104446670/104439826/104423668/104447544/104429799/104423142/104436612/104414394/104422451/108955930/104422425/104438091/104454553/104437856/104424842/104449247/104434125/104422440/104428666/104436109/104436467/104425848/104437082/104444658"
"GO:0006457","protein folding",211,0.65937250065412,2.57512782879284,5.81964793780219e-22,2.51699773309945e-19,1.79490194292215e-19,2251,"tags=27%, list=10%, signal=25%","104433086/104436331/104423843/104423239/104429945/104452372/104422428/104442142/104422427/104431659/104452453/104417707/108958104/104419505/104422452/104437870/104422431/104422433/104431598/104433182/104450758/104422442/104425703/104449754/104430445/104430869/104452509/104414844/104432744/104450645/104422443/104451046/104422438/104422449/104440990/104445680/104448896/104430446/104452953/104450646/104437678/104443842/104419390/104433841/104449157/104422426/104417739/104437604/104436509/104424446/104422434/104425266/104439826/104423668/104447544/104422451/104422425"
"GO:0007017","microtubule-based process",230,-0.612050162488545,-2.38787010843756,1.68720220151705e-19,4.86476634770749e-17,3.46912452662804e-17,5667,"tags=59%, list=24%, signal=45%","104422595/104421478/104425502/104427007/104425382/104414812/104443084/104455704/104450591/104415140/104425495/104414085/104423135/104443750/104452430/104425084/104441722/104417527/104433897/104419518/104450241/104421362/104421380/104418882/104416374/104449227/104453632/104448108/104456492/104437670/104449951/104416509/104449307/104433772/104426500/104419448/104448130/104446691/104441567/104451783/104426864/104454041/104419668/104426040/104445423/104441744/104433670/104433374/104449273/104418234/104425124/104424727/104438287/104449242/104453102/104443964/104444906/104450268/104425083/104420843/104421663/104423107/104443744/104424331/104419543/104456731/104429717/104448060/104436540/104448181/104427736/104450402/104433954/104424418/104437033/104432773/104450202/104433067/104432674/104444187/104424429/104437711/104437808/104422032/104421767/104414569/104425628/104432805/104440057/104456120/104453055/104435073/104430554/104422192/104418870/104422745/104448849/104444993/104452702/104441685/104418769/104441392/104440833/104414653/104438512/104433753/104414594/104414988/104441051/104415142/104418341/104450284/104429698/104414470/104423733/104445475/104428689/104433935/104434842/104441197/104425389/104449214/104425799/104419381/104415284/104449520/104448029/104450029/104449185/104442268/104421279/104443121/104449511/104432374/104416279/104420951"
"GO:0007010","cytoskeleton organization",296,-0.570109765669674,-2.28272307388817,1.21560042338488e-18,2.62873591556979e-16,1.87458381079878e-16,5829,"tags=52%, list=25%, signal=40%","104424911/104445604/104433934/104438608/104422595/104420924/104425502/104427007/104456572/104425382/104450162/104414812/104455704/104450591/104418362/104415140/104442140/104425495/104414085/104423135/104443750/104452430/104425084/104418942/104441722/104416283/104417527/104433897/104419518/104450241/104421362/104449227/104453632/104456492/104420889/104432936/104437670/104442305/104449951/104416509/104418931/104449307/104433772/104426500/104419448/104449567/104448130/104446691/104441567/104456189/104439914/104436268/104451783/104444062/104426864/104418150/104454041/104419668/104426040/104445423/104414393/104415600/104433670/104433374/104449273/104418234/104422954/104425124/104424727/104438287/104433899/104453102/104443964/104414355/104444906/104441772/104450268/104425083/104420843/104454362/104423107/104447790/104424331/104426538/104419543/104429717/104448060/104454294/104426289/104448181/104427736/104449254/104433954/104424418/104437033/104425680/104432773/104450202/104432674/104437711/104437808/104422032/104421767/104414569/104425628/104432805/104440057/104456120/104453055/104435073/104450039/104430554/104422192/104425391/104448849/104444993/104452702/104441685/104418769/104441392/104436746/104432839/104440833/104424972/104414988/104441051/104415142/104450284/104429698/104425496/104423733/104445475/104428689/104433935/104423641/104434842/104441197/104432291/104425389/104449214/104419381/104415284/104449520/104438203/104448029/104449185/104442268/104441351/104443121/104438263/104443209/104416279/104420951/104417524/104434314"
"GO:0051321","meiotic cell cycle",320,-0.546387488889835,-2.19978445369197,2.21068501594517e-17,3.82448507758514e-15,2.72728719861867e-15,4156,"tags=42%, list=18%, signal=35%","104424724/104454477/104438015/104436526/104440222/104436168/104456556/104417781/104456402/104438490/104451930/104436406/104422651/104454389/104423592/104421704/104422367/104456536/104418257/108957028/104425861/104430614/104447202/108955903/104422636/104425353/104421462/104419690/104457005/104453781/104420482/104416017/104415172/104415583/104444125/104449339/104436379/104450473/104450552/104444449/104453968/104422707/104421196/104450799/104419154/104440258/104450731/104441058/104414490/104449252/108959726/104419674/104424613/104435089/104421335/104449856/104417677/104426970/104440057/104425065/104435645/104422306/104426210/104435958/104433611/104455025/104422159/104440824/104418737/104417021/104414114/104422789/104423216/104444278/104414878/104445825/104456997/104450358/104434564/104438209/104414311/104423256/104426075/108957389/104455911/104455368/104452702/104415785/104441392/104437992/104429245/104414469/104414988/104425583/104424415/104441497/104450430/104433292/104423733/104445475/104428689/104453900/104449334/104444321/104422660/104414246/104424440/104420611/104442300/104432291/104437008/104423274/104445314/104433769/104419177/104417056/104415360/104443931/104450259/104450309/104450029/104421482/104442268/104434053/104419423/104414204/104456527/104435818/104421791/104445511/104440836/104418966/104416279/104414842"
"GO:1903046","meiotic cell cycle process",298,-0.552986975424059,-2.21158783480504,8.44910830743126e-17,1.21807978098801e-14,8.68627625992056e-15,4156,"tags=43%, list=18%, signal=35%","104424724/104454477/104436526/104440222/104436168/104456556/104417781/104456402/104438490/104451930/104436406/104422651/104454389/104423592/104421704/104422367/104456536/104418257/108957028/104425861/104430614/104447202/108955903/104422636/104425353/104421462/104419690/104457005/104453781/104420482/104416017/104415172/104415583/104444125/104449339/104436379/104450473/104450552/104444449/104453968/104422707/104421196/104450799/104419154/104440258/104450731/104441058/104414490/104449252/108959726/104419674/104424613/104435089/104421335/104449856/104417677/104426970/104440057/104425065/104435645/104422306/104426210/104433611/104455025/104440824/104418737/104417021/104422789/104423216/104444278/104414878/104445825/104450358/104434564/104438209/104414311/104423256/104426075/108957389/104455911/104455368/104452702/104415785/104441392/104437992/104429245/104414469/104414988/104425583/104424415/104441497/104450430/104433292/104423733/104445475/104428689/104453900/104449334/104444321/104414246/104424440/104442300/104432291/104437008/104423274/104445314/104433769/104419177/104417056/104415360/104443931/104450259/104450309/104450029/104421482/104442268/104434053/104419423/104414204/104456527/104435818/104421791/104445511/104440836/104418966/104416279/104414842"
"GO:0000280","nuclear division",196,-0.610222075447127,-2.32638105892609,2.1627853950824e-16,2.67258480963754e-14,1.90585299476434e-14,4048,"tags=46%, list=17%, signal=38%","104436526/104436168/104417781/104456402/104451930/104422651/104456536/104452720/104425861/104452745/104430614/104424405/104422636/104421462/104457005/104416017/104415172/104449339/104436379/104418872/104450473/104450552/104427736/104422707/104449731/104452721/104440258/104457403/104450731/108959726/104424613/104435089/104449856/104419362/104417677/104426970/104425628/104432805/104440057/104425065/104426210/104455025/104440824/104418737/104417021/104423216/104444278/104450358/104438209/104414311/104426075/104422192/108957389/104450505/104441319/104455911/104455368/104449753/104452702/104418769/104429245/104440833/104414469/104434817/104435210/104426087/104425583/104450284/104424415/104450430/104423733/104445475/104428689/104433935/104414246/104424440/104442300/104419381/104437008/104415284/104417056/104415360/104443931/104450309/104421482/104434053/104433641/104414204/104445554/104435818"
"GO:0000226","microtubule cytoskeleton organization",180,-0.618898677878363,-2.33113638958762,2.89504529724421e-16,3.13026772764531e-14,2.23223229498041e-14,5743,"tags=60%, list=25%, signal=46%","104433934/104422595/104425502/104427007/104425382/104414812/104455704/104450591/104415140/104425495/104414085/104423135/104443750/104452430/104425084/104441722/104417527/104433897/104419518/104450241/104421362/104449227/104453632/104456492/104437670/104449951/104416509/104449307/104433772/104426500/104419448/104448130/104446691/104441567/104451783/104426864/104454041/104419668/104426040/104445423/104433670/104433374/104449273/104418234/104425124/104424727/104438287/104453102/104443964/104444906/104450268/104425083/104420843/104423107/104424331/104419543/104429717/104448060/104448181/104427736/104433954/104424418/104437033/104432773/104450202/104432674/104437711/104437808/104422032/104421767/104414569/104425628/104432805/104440057/104456120/104453055/104435073/104430554/104422192/104448849/104444993/104452702/104441685/104418769/104441392/104440833/104414988/104441051/104415142/104450284/104429698/104423733/104445475/104428689/104433935/104434842/104441197/104425389/104449214/104419381/104415284/104449520/104448029/104449185/104442268/104443121/104416279/104420951"
"GO:0000302","response to reactive oxygen species",257,0.575518325052672,2.28291625872496,1.36507181562338e-15,1.31198568946025e-13,9.35593080649477e-14,2601,"tags=29%, list=11%, signal=26%","104433086/104436331/104423843/104442057/104423141/104422428/104421217/104422427/104431659/104452453/104435432/108958104/104426361/104456178/104438143/104419505/104422452/104437870/104422431/108959428/104422433/104431598/104437968/104438090/104449580/104450758/104422442/104426362/104426300/104449754/104430445/104438083/104432744/104430392/104438140/104435850/104422443/104451046/104450319/104422438/104423163/104417293/104422449/104430446/104442733/104438084/104423162/108955342/104425908/104426206/104422426/104431467/104419410/104420993/104420162/104421023/104437705/104422434/104436316/104442158/104417030/104423142/104422451/104448931/104422425/104438091/104421046/104425827/104437856/104422440/104443913/104417574/104436467/104415880"
"GO:0000278","mitotic cell cycle",331,-0.518130666019516,-2.08420153171342,1.17998814115335e-14,1.02068974209765e-12,7.27866369174596e-13,3488,"tags=38%, list=15%, signal=33%","108959299/104440204/104418234/104452720/104424727/104425861/104452745/104448925/108957567/104424405/104453754/104422636/104444906/104425083/104457005/104426581/104416017/104415172/104443501/104418505/104436379/104429717/104448060/104418872/104450473/104428708/104427736/104434039/104434005/104449731/104422119/104452721/104424418/104453153/104440258/104449298/104457403/104433741/104436023/104437724/104437808/108959726/104426082/104456116/104449856/104419362/104425628/104432805/104421442/104436022/104446460/104440888/104453055/104424460/104440824/104433373/104418737/104440592/104423216/104444278/104456046/104427667/104444824/104450358/104457116/104426075/104450844/104430554/104422192/108959733/104436967/104450842/104450505/104441319/104449571/104449753/104420479/104452702/104448958/104418769/104441392/104429245/104440833/104449491/104414469/104453362/104434817/104435210/104426087/104414988/104441051/104450284/104448401/104445133/104422835/104429698/104421925/104432659/104428689/104415868/104431410/104433935/104421520/104424440/104450526/104425389/104449214/104419381/104415284/104448029/104457402/104449286/104441797/104447839/104425392/104421482/104442048/104449185/104442268/104432975/104421489/104433641/104443121/104456117/104456527/104422120/104423486"
