"sseqid","entrezgene_id","function","external_gene_name"
"AT1G01170",839263,"ozone-responsive stress-like protein (DUF1138) [Source:NCBI gene (formerly Entrezgene);Acc:839263]","AT1G01170"
"AT1G01590",837194,"ferric reduction oxidase 1 [Source:NCBI gene (formerly Entrezgene);Acc:837194]","FRO1"
"AT1G01720",839265,"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839265]","ATAF1"
"AT1G01800",839259,"NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839259]","AT1G01800"
"AT1G02170",839561,"metacaspase 1 [Source:NCBI gene (formerly Entrezgene);Acc:839561]","MC1"
"AT1G02620",839269,"Ras-related small GTP-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:839269]","AT1G02620"
"AT1G02640",837940,"beta-xylosidase 2 [Source:NCBI gene (formerly Entrezgene);Acc:837940]","BXL2"
"AT1G02816",839308,"pectinesterase (Protein of unknown function, DUF538) [Source:NCBI gene (formerly Entrezgene);Acc:839308]","AT1G02816"
"AT1G02850",839435,"beta glucosidase 11 [Source:NCBI gene (formerly Entrezgene);Acc:839435]","BGLU11"
"AT1G03050",839416,"ENTH/ANTH/VHS superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839416]","AT1G03050"
"AT1G03070",839581,"Bax inhibitor-1 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839581]","AT1G03070"
"AT1G03090",838362,"methylcrotonyl-CoA carboxylase alpha chain [Source:NCBI gene (formerly Entrezgene);Acc:838362]","MCCA"
"AT1G03170",839563,"FANTASTIC four-like protein (DUF3049) [Source:NCBI gene (formerly Entrezgene);Acc:839563]","FAF2"
"AT1G03220",838517,"Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:838517]","AT1G03220"
"AT1G03260",839546,"SNARE associated Golgi protein family [Source:NCBI gene (formerly Entrezgene);Acc:839546]","AT1G03260"
"AT1G03280",838581,"Transcription factor TFIIE, alpha subunit [Source:NCBI gene (formerly Entrezgene);Acc:838581]","AT1G03280"
"AT1G03440",839504,"Leucine-rich repeat (LRR) family protein [Source:NCBI gene (formerly Entrezgene);Acc:839504]","AT1G03440"
"AT1G03510",839478,"Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839478]","AT1G03510"
"AT1G03670",839438,"ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:839438]","AT1G03670"
"AT1G03940",839366,"HXXXD-type acyl-transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839366]","AT1G03940"
"AT1G03980",839354,"phytochelatin synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:839354]","PCS2"
"AT1G04040",839325,"HAD superfamily, subfamily IIIB acid phosphatase [Source:NCBI gene (formerly Entrezgene);Acc:839325]","AT1G04040"
"AT1G04120",839277,"multidrug resistance-associated protein 5 [Source:NCBI gene (formerly Entrezgene);Acc:839277]","ABCC5"
"AT1G04140",839272,"Transducin family protein / WD-40 repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:839272]","AT1G04140"
"AT1G04170",839238,"eukaryotic translation initiation factor 2 gamma subunit [Source:NCBI gene (formerly Entrezgene);Acc:839238]","EIF2 GAMMA"
"AT1G04190",839442,"Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839442]","TPR3"
"AT1G04200",839439,"dyggve-melchior-clausen syndrome protein [Source:NCBI gene (formerly Entrezgene);Acc:839439]","AT1G04200"
"AT1G04230",839575,"rRNA-processing EFG1-like protein (DUF2361) [Source:NCBI gene (formerly Entrezgene);Acc:839575]","AT1G04230"
"AT1G04250",839568,"AUX/IAA transcriptional regulator family protein [Source:NCBI gene (formerly Entrezgene);Acc:839568]","AXR3"
"AT1G04290",839552,"Thioesterase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839552]","AT1G04290"
"AT1G04300",839551,"TRAF-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839551]","AT1G04300"
"AT1G04420",839524,"NAD(P)-linked oxidoreductase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839524]","AT1G04420"
