"qseqid","sseqid","log2FoldChange","lfcSE","padj","function.","external_gene_name"
"104414029","AT5G67620",-1.51376846032617,0.29375931727736,5.23929954624615e-06,"DUF4228 domain protein [Source:NCBI gene (formerly Entrezgene);Acc:836898]","AT5G67620"
"104414031","AT5G65890",1.15043880030949,0.302210850856492,0.00129678828919672,"ACT domain repeat 1 [Source:NCBI gene (formerly Entrezgene);Acc:836718]","ACR1"
"104414096","AT2G39050",3.45861940473915,1.06455985911154,0.00761395366860024,"hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:818491]","EULS3"
"104414114","AT1G67750",-1.54703471372412,0.546904299342896,0.0238392858457742,"Pectate lyase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843100]","AT1G67750"
"104414129","AT1G67810",2.42680234157479,0.37220296704409,3.41230406596992e-09,"sulfur E2 [Source:NCBI gene (formerly Entrezgene);Acc:843107]","SUFE2"
"104414133","AT1G24580",2.57394983828996,0.656751930043935,0.00087841563135533,"RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:2745762]","AT1G24580"
"104414157","AT1G23340",-1.0387097261041,0.207551436867672,1.05311870500169e-05,"carboxyl-terminal proteinase, putative (DUF239) [Source:NCBI gene (formerly Entrezgene);Acc:838943]","AT1G23340"
"104414164","AT1G12940",-1.62759267092881,0.309265471726769,3.11054020985642e-06,"nitrate transporter2.5 [Source:NCBI gene (formerly Entrezgene);Acc:837852]","NRT2.5"
"104414166","AT1G23360",-1.00910759067901,0.240206013376564,0.000310494523852685,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838945]","MENG"
"104414195","AT2G29490",2.83103015454184,0.529809015554347,2.1018936366147e-06,"glutathione S-transferase TAU 1 [Source:NCBI gene (formerly Entrezgene);Acc:817498]","GSTU1"
"104414197","AT2G29420",4.29069589131572,0.60801763475169,1.21971883582115e-10,"glutathione S-transferase tau 7 [Source:NCBI gene (formerly Entrezgene);Acc:817491]","GSTU7"
"104414203","AT1G60470",-1.11234586501522,0.251482836079064,0.000129473962936755,"galactinol synthase 4 [Source:NCBI gene (formerly Entrezgene);Acc:842342]","GolS4"
