"qseqid","sseqid","pident","length","mismatch","evalue","bitscore","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"104414021","AT1G79940",70.354,226,65,2.36e-98,334,2962.2107491759,0.296809119229725,0.106591589471053,2.78454539145725,0.00536028178430069,0.0266202800755714
"104414022","AT5G40520",44.628,363,190,8.83e-78,273,477.819415279939,0.232689043237678,0.150184685060665,1.54935267296853,0.121296964105528,0.281523090403832
"104414023","AT3G49880",79.078,282,59,1.18e-161,500,627.657239038752,-0.538404641142077,0.127842938759795,-4.21145388525281,2.53732355280612e-05,0.000298450170959079
"104414024","AT5G67570",74.242,66,17,1.75e-47,111,342.634117285504,0.0646711840938902,0.195733469683839,0.330404320724254,0.741094477220942,0.862536768744918
"104414025","AT4G37660",58.974,117,41,5.1e-22,90.1,176.223195642551,-0.0849530839751175,0.32456167370976,-0.261747121907829,0.793516408599,0.893666328463692
"104414026","AT5G67580",84,50,8,1.76e-18,89.4,717.91949873769,-0.0585150782644432,0.186326250490836,-0.314046346718714,0.753485838491342,0.869961677191027
"104414028","AT5G67610",46.154,143,38,8.79e-28,120,395.868360864242,0.325548737807236,0.150865596500151,2.15787260554735,0.0309377379138403,0.104338602659585
"104414029","AT5G67620",64.211,95,29,1.3e-32,123,297.921313282482,-1.51376846032617,0.29375931727736,-5.15309088527362,2.56227704791965e-07,5.23929954624615e-06
"104414031","AT5G65890",48.077,156,75,1.52e-53,155,158.318852417491,1.15043880030949,0.302210850856492,3.80674220349484,0.00014080938826631,0.00129678828919672
"104414032","AT1G10150",49.057,424,190,1.73e-110,343,69.4575284857385,0.691581933828552,0.345832424585425,1.99976024416335,0.0455261594029091,0.138971999787028
"104414033","AT3G60500",83.099,71,12,1.12e-30,127,418.094762243674,0.278968553813338,0.171161137744644,1.62985919285914,0.103131259937067,0.25070278195246
"104414034","AT3G49780",69.697,33,10,2.98e-10,56.2,1.41923117544373,-3.96947371148596,2.70794225960957,-1.4658634974212,0.142685478134622,NA
