qseqid,sseqid,log2FoldChange,lfcSE,padj,description,external_gene_name
104414029,AT5G67620,-1.51376846,0.293759317,5.24E-06,DUF4228 domain protein [Source:NCBI gene (formerly Entrezgene);Acc:836898],AT5G67620
104414031,AT5G65890,1.1504388,0.302210851,0.001296788,ACT domain repeat 1 [Source:NCBI gene (formerly Entrezgene);Acc:836718],ACR1
104414096,AT2G39050,3.458619405,1.064559859,0.007613954,hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:818491],EULS3
104414114,AT1G67750,-1.547034714,0.546904299,0.023839286,Pectate lyase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843100],AT1G67750
104414129,AT1G67810,2.426802342,0.372202967,3.41E-09,sulfur E2 [Source:NCBI gene (formerly Entrezgene);Acc:843107],SUFE2
104414133,AT1G24580,2.573949838,0.65675193,0.000878416,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:2745762],AT1G24580
104414157,AT1G23340,-1.038709726,0.207551437,1.05E-05,"carboxyl-terminal proteinase, putative (DUF239) [Source:NCBI gene (formerly Entrezgene);Acc:838943]",AT1G23340
104414164,AT1G12940,-1.627592671,0.309265472,3.11E-06,nitrate transporter2.5 [Source:NCBI gene (formerly Entrezgene);Acc:837852],NRT2.5
104414166,AT1G23360,-1.009107591,0.240206013,0.000310495,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838945],MENG
104414195,AT2G29490,2.831030155,0.529809016,2.10E-06,glutathione S-transferase TAU 1 [Source:NCBI gene (formerly Entrezgene);Acc:817498],GSTU1
104414197,AT2G29420,4.290695891,0.608017635,1.22E-10,glutathione S-transferase tau 7 [Source:NCBI gene (formerly Entrezgene);Acc:817491],GSTU7
104414203,AT1G60470,-1.112345865,0.251482836,0.000129474,galactinol synthase 4 [Source:NCBI gene (formerly Entrezgene);Acc:842342],GolS4
104414204,AT1G60460,-2.453507914,0.41300377,9.40E-08,,AT1G60460
104414207,AT1G60420,1.41129045,0.281508668,1.01E-05,DC1 domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:842337],AT1G60420
104414214,AT1G27170,1.18157202,0.461645697,0.04553692,transmembrane receptors / ATP binding protein [Source:NCBI gene (formerly Entrezgene);Acc:839606],AT1G27170
104414226,AT1G23760,-1.020299397,0.27129869,0.001514371,BURP domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:838987],JP630
