qseqid	sseqid	pident	length	mismatch	evalue	bitscore
104414021	AT1G79940	70.354	226	65	2.36e-98	334
104414022	AT5G40520	44.628	363	190	8.83e-78	273
104414023	AT3G49880	79.078	282	59	1.18e-161	500
104414024	AT5G67570	74.242	66	17	1.75e-47	111
104414025	AT4G37660	58.974	117	41	5.1e-22	90.1
104414026	AT5G67580	84	50	8	1.76e-18	89.4
104414028	AT5G67610	46.154	143	38	8.79e-28	120
104414029	AT5G67620	64.211	95	29	1.3e-32	123
104414031	AT5G65890	48.077	156	75	1.52e-53	155
104414032	AT1G10150	49.057	424	190	1.73e-110	343
104414033	AT3G60500	83.099	71	12	1.12e-30	127
104414034	AT3G49780	69.697	33	10	2.98e-10	56.2
104414037	AT3G49760	34.337	166	88	6.81e-16	74.3
104414038	AT5G65840	46.067	89	14	7.4e-33	78.2
104414040	AT4G37750	96.296	27	1	4.44e-45	63.5
104414041	AT3G49725	56.098	82	30	9.12e-20	97.1
104414042	AT4G34910	77.778	54	11	2.96e-40	62.8
104414043	AT3G49720	83.465	127	21	2.26e-66	226
104414045	AT3G42050	80.952	84	16	6.62e-36	144
104414046	AT5G65760	47.917	144	32	2.85e-37	150
104414048	AT5G65760	43.262	141	35	9.35e-47	117
104414049	AT5G65820	64.019	617	205	0	788
104414051	AT3G49645	47.619	63	33	9.94e-12	69.7
104414057	AT5G65710	55.878	723	310	0	753
104414058	AT1G05780	68.421	57	18	4.6e-18	82.4
104414059	AT5G09660	87.963	108	13	9.66e-56	197
104414060	AT1G69550	32.605	595	328	1.97e-40	165
104414062	AT5G36930	35.616	292	171	4.73e-35	137
104414063	AT1G69550	40.092	217	126	3.61e-22	82
104414065	AT1G69550	40.273	586	295	2.64e-61	238
104414067	AT1G27170	31.302	361	229	5.17e-47	186
104414068	AT4G23160	40.711	253	131	5.04e-89	184
104414069	AT5G09660	81.707	82	15	1.95e-42	145
104414070	AT1G16130	58.228	316	131	2.45e-126	401
104414071	AT4G23160	44.081	397	208	3.42e-132	368
104414072	AT5G36930	34.133	375	212	1.81e-35	147
104414074	AT1G17615	39.161	143	85	4.19e-27	115
104414076	AT4G29090	27.338	278	171	3.65e-20	69.7
104414078	AT5G65700	86.616	396	52	0	683
104414080	AT4G37850	49.219	128	62	1.78e-27	114
104414081	AT2G22750	42.857	140	79	2.87e-17	84
104414084	AT3G49660	72.464	207	52	1.43e-95	301
104414085	AT3G49650	78.75	160	9	9.58e-66	242
104414086	AT5G65685	66.038	53	18	1.63e-16	85.5
104414087	AT3G49640	76.744	43	10	2.41e-26	73.6
104414089	AT4G37880	59.335	391	153	4.34e-153	474
